model,cv_auc_mean,cv_auc_std,train_auc,test_auc,test_pr_auc,test_log_loss,test_brier,overfit_gap
Baseline (always majority),0.5,0.0,0.5,0.5,0.7580893682588598,0.5616779924584115,0.1867779831333241,0.0
Logistic Regression,0.6647291377023659,0.010508270934509095,0.6699030843237125,0.6707495080524053,0.8492771164901048,0.5296008421316998,0.1740952102758051,-0.0008464237286928133
Random Forest,0.6737995446666918,0.00849677645013645,0.7704401745679335,0.6796247928641707,0.8539485757286133,0.5251091155118583,0.17259904939658224,0.0908153817037628
Gradient Boosting,0.6493131078247945,0.009561154151966204,0.9052775052531772,0.6463560276526332,0.8320507750690092,0.549405892564844,0.18194641725017727,0.25892147760054396
